Index,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label,cluster
1508,org.gjt.sp.jedit.browser.BrowserCommandsMenu,jedit.browser.BrowserCommandsMenu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1509,org.gjt.sp.jedit.menu.PluginsProvider,jedit.menu.PluginsProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1510,org.gjt.sp.jedit.options.PluginManagerOptionPane,jedit.options.PluginManagerOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1511,org.gjt.sp.jedit.search.HyperSearchOperationNode,jedit.search.HyperSearchOperationNode,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Interfacer,7
1512,org.gjt.sp.jedit.textarea.ChunkCache,jedit.textarea.ChunkCache,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1513,org.gjt.sp.jedit.pluginmgr.PluginListHandler,jedit.pluginmgr.PluginListHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1514,org.gjt.sp.jedit.OperatingSystem,jedit.OperatingSystem,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1515,org.gjt.sp.jedit.options.ShortcutsOptionPane,jedit.options.ShortcutsOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer,7
1516,org.gjt.sp.jedit.EditPane,jedit.EditPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer,7
1517,org.gjt.sp.jedit.bsh.Remote,jedit.bsh.Remote,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
